41241
FBtr0347033	11633	12708	12708	2	1	0	23915
FBtr0300146	263694	264958	12708	2	1	1	23924
FBtr0308947	524815	525922	264958	2	2	2	23925
FBtr0302344	786993	787310	525922	2	2	4	23929
RR41606_transposable_element-RA	1049090	1050817	787310	1	1	6	23916
RR51478_transposable_element-RA	1050818	1052539	1050817	1	1	7	23917
FBtr0300167	1310733	1311837	1052539	2	1	8	23930
FBtr0300105	1574312	1575043	1311837	1	3	9	23923
FBtr0304147	1835187	1835621	1575043	2	1	12	23931
FBtr0300161	2097152	2098507	1835621	2	1	13	23928
FBtr0300134	2359696	2360349	2098507	1	1	14	23918
FBtr0347010	2628825	2630966	2360349	2	4	15	23914
FBtr0347034	2883584	2884323	2630966	2	1	19	23927
FBtr0302352	3145734	3146081	2884323	2	1	20	23926
FBtr0300141	3409101	3410290	3146081	1	1	21	23922
FBtr0300139	3670016	3671458	3410290	2	1	22	23920
FBtr0300138	3672063	3673389	3671458	2	1	23	23919
FBtr0347035	3932858	3933929	3673389	1	1	24	23921
FBtr0475186	4201832	4203787	3933929	1	2	25	21121
FBti0060580-RA	4204029	4204162	4203787	1	1	27	22782
FBtr0078171	4204142	4212873	4204162	2	10	28	18714
FBtr0078170	4204142	4212873	4212873	2	9	38	18714
FBtr0078168	4204142	4215679	4212873	2	9	47	18714
FBtr0306591	4204142	4215679	4215679	2	10	56	18714
FBtr0306592	4204142	4215679	4215679	2	11	66	18714
FBtr0330655	4204142	4215679	4215679	2	9	77	18714
FBtr0078167	4204142	4215679	4215679	2	9	86	18714
FBtr0078169	4204142	4215679	4215679	2	10	95	18714
FBtr0306589	4204142	4215679	4215679	2	10	105	18714
FBtr0078166	4204142	4215679	4215679	2	9	115	18714
FBtr0306590	4204142	4215679	4215679	2	9	124	18714
FBti0059810-RA	4204191	4204252	4215679	2	1	133	18773
FBtr0113008	4216126	4219458	4215679	2	5	134	20253
FBtr0309810	4216255	4218540	4219458	1	2	139	22774
FBti0059812-RA	4218539	4218765	4219458	1	1	141	20498
FBtr0078164	4219705	4253571	4219458	2	14	142	21410
FBtr0309228	4219705	4253571	4253571	2	14	156	21410
FBtr0113416	4219705	4253571	4253571	2	13	170	21410
FBtr0309225	4219705	4253571	4253571	2	11	183	21410
FBtr0078163	4219705	4253571	4253571	2	13	194	21410
FBtr0309229	4219705	4253571	4253571	2	15	207	21410
FBtr0309227	4219705	4253571	4253571	2	12	222	21410
FBtr0309226	4219705	4259707	4253571	2	14	234	21410
FBti0059814-RA	4221833	4222091	4259707	2	1	248	22639
FBti0019092-RA	4241817	4246822	4259707	1	1	249	21767
FBtr0347585	4249120	4250070	4259707	1	1	250	22200
FBti0059816-RA	4254543	4254883	4259707	1	1	251	19344
FBti0059818-RA	4254966	4255076	4259707	1	1	252	22487
FBti0019093-RA	4258619	4259239	4259707	1	1	253	20728
FBti0059819-RA	4259967	4260001	4259707	2	1	254	22929
FBtr0345732	4260302	4260545	4260001	1	1	255	19378
FBtr0345733	4260621	4260827	4260545	1	1	256	21855
FBtr0306539	4260785	4265693	4260827	1	7	257	20961
FBtr0306536	4261346	4265384	4265693	1	5	264	20961
FBtr0306538	4261346	4265384	4265693	1	6	269	20961
FBtr0306537	4261346	4265693	4265693	1	6	275	20961
FBtr0078100	4261346	4265693	4265693	1	5	281	20961
FBtr0344053	4265342	4268139	4265693	2	2	286	19184
FBtr0344052	4265342	4268139	4268139	2	1	288	19184
FBtr0306540	4266060	4270514	4268139	1	4	289	21732
FBtr0078101	4266690	4270514	4270514	1	3	293	21732
FBtr0331680	4267788	4270514	4270514	1	4	296	21732
FBtr0302164	4267788	4270514	4270514	1	3	300	21732
FBtr0301733	4268432	4270514	4270514	1	3	303	21732
FBtr0306541	4270651	4272086	4270514	1	2	306	22723
