211000022278279	12714
211000022278436	2815
211000022278449	1947
211000022278760	1144
211000022278978	12424
211000022279165	1118
211000022279188	3347
211000022279264	1019
211000022279392	1356
211000022279681	11763
211000022280328	14098
211000022280341	1371
211000022280347	1870
211000022280481	3713
211000022280494	4197
211000022280703	3906
2L	23513712
2R	25286936
3L	28110227
3R	32079331
4	1348131
mitochondrion_genome	19524
NZ_CP046925.1	1267783
rDNA	76973
Unmapped_Scaffold_4_D1555_D1692	86267
Unmapped_Scaffold_60_D1601	24503
Unmapped_Scaffold_8_D1580_D1567	88768
X	23542271
Y	3667352
Y_mapped_Scaffold_9_D1573	66731
